search_term,video_url,title,username,view_num,created_at,collected_at
ice cream business,/watch?v=g1xg90R8SVw&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz0gcJCYcKAYcqIYzv,,Elabor BizTV,1.2K views,2 years ago,2026-01-22 02:02:39.256352
ice cream business,/shorts/LJQ2l5d0nR4,,Dhiraj Parakh,53K views,7 months ago,2026-01-22 02:02:39.257472
ice cream business,/shorts/TswwF0U_nGw,,RonaldoTV82,5K views,2 years ago,2026-01-22 02:02:39.258609
ice cream business,/watch?v=1bc-FQq1Ons&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,GovernmentZA,782 views,3 years ago,2026-01-22 02:02:39.259463
ice cream business,/shorts/Klkcvj6Uuuw,,SS SODA MACHINE,7.4K views,1 year ago,2026-01-22 02:02:39.260394
ice cream business,/shorts/EulRo4uVbAA,,Ankul Rajpurohit,21M views,6 months ago,2026-01-22 02:02:39.261236
ice cream business,/watch?v=v4x6Lq7qX9s&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,TM Media & Business 🇺🇬,6K views,3 years ago,2026-01-22 02:02:45.161799
ice cream business,/watch?v=OtgLOAzvHMs&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,ZHC Crafts,2.3M views,2 years ago,2026-01-22 02:02:45.163286
ice cream business,/watch?v=JNPM_32-P4k&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Business Insider,515K views,4 years ago,2026-01-22 02:02:45.165261
ice cream business,/watch?v=q0Nf6leM2tI&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Shaun Academy,3.5K views,1 year ago,2026-01-22 02:02:45.167326
ice cream business,/watch?v=KTwJRsXbJ_U&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Nina Bacani,626K views,3 years ago,2026-01-22 02:02:45.169392
